d,Inflacion mensual,Inflacion trimestral
2014-04-01,2.6,9.907582400000003
2014-05-01,1.8,
2014-06-01,1.4,
2014-07-01,1.3,4.567127599999976
2014-08-01,1.4,
2014-09-01,1.3,
2014-10-01,1.4,4.156254799999992
2014-11-01,1.2,
2014-12-01,1.1,
2015-01-01,1.0,3.3363319999999863
2015-02-01,1.1,
2015-03-01,0.9,
2015-04-01,1.3,3.336028699999982
2015-05-01,1.1,
2015-06-01,1.0,
2015-07-01,1.0,3.132109999999999
2015-08-01,1.3,
2015-09-01,1.2,
2015-10-01,1.2,3.745787200000006
2015-11-01,1.1,
2015-12-01,2.0,
2016-01-01,3.9,7.143758
2016-02-01,4.1,
2016-03-01,2.7,
2016-04-01,3.0,10.118020999999988
2016-05-01,3.4,
2016-06-01,4.2,
2016-07-01,3.1,11.082826799999989
2016-08-01,2.0,
2016-09-01,0.2,
2016-10-01,1.1,3.3282440000000024
2016-11-01,2.4,
2016-12-01,1.6,
2017-01-01,1.2,5.286860800000004
2017-02-01,1.3,
2017-03-01,2.5,
2017-04-01,2.4,6.324479999999966
2017-05-01,2.6,
2017-06-01,1.3,
2017-07-01,1.2,5.181005599999988
2017-08-01,1.7,
2017-09-01,1.4,
2017-10-01,1.9,5.083152199999974
2017-11-01,1.5,
2017-12-01,1.4,
2018-01-01,3.1,6.111550999999982
2018-02-01,1.8,
2018-03-01,2.4,
2018-04-01,2.3,6.640793599999983
2018-05-01,2.7,
2018-06-01,2.1,
2018-07-01,3.7,8.736397899999982
2018-08-01,3.1,
2018-09-01,3.9,
2018-10-01,6.5,14.083758499999988
2018-11-01,5.4,
2018-12-01,3.2,
2019-01-01,2.6,11.600892800000008
2019-02-01,2.9,
2019-03-01,3.8,
2019-04-01,4.7,11.830279399999988
2019-05-01,3.4,
2019-06-01,3.1,
2019-07-01,2.7,9.483745799999976
2019-08-01,2.2,
2019-09-01,4.0,
2019-10-01,5.9,12.558991999999991
2019-11-01,3.3,
2019-12-01,4.3,
2020-01-01,3.7,11.72835029999999
2020-02-01,2.3,
2020-03-01,2.0,
2020-04-01,3.3,7.78941799999997
2020-05-01,1.5,
2020-06-01,1.5,
2020-07-01,2.2,5.288994999999974
2020-08-01,1.9,
2020-09-01,2.7,
2020-10-01,2.8,7.5815363999999885
2020-11-01,3.8,
2020-12-01,3.2,
2021-01-01,4.0,11.406464000000028
2021-02-01,4.0,
2021-03-01,3.6,
2021-04-01,4.8,12.915712000000013
2021-05-01,4.1,
2021-06-01,3.3,
2021-07-01,3.2,10.976429599999982
2021-08-01,3.0,
2021-09-01,2.5,
2021-10-01,3.5,9.270124999999997
2021-11-01,3.5,
2021-12-01,2.5,
2022-01-01,3.8,10.118824999999987
2022-02-01,3.9,
2022-03-01,4.7,
2022-04-01,6.7,16.07178109999998
2022-05-01,6.0,
2022-06-01,5.1,
2022-07-01,5.3,17.31051800000001
