datetime,Ingresos (miles de $)
2014-01-01,2916071.75
2014-04-01,2974865.2
2014-07-01,3105462.02
2014-10-01,3339690.9
2015-01-01,3260124.75
2015-04-01,3425518.48
2015-07-01,3590883.18
2015-10-01,3815364.12
2016-01-01,4198260.39
2016-04-01,4718769.82
2016-07-01,4951967.66
2016-10-01,4964596.39
2017-01-01,6375681.76
2017-04-01,6970617.22
2017-07-01,6667943.53
2017-10-01,5514336.19
2018-01-01,8252279.99
2018-04-01,7911723.07
2018-07-01,10111350.57
2018-10-01,8997157.88
2019-01-01,12238568.39
2019-04-01,14181055.21
2019-07-01,13404569.15
2019-10-01,20321577.16
2020-01-01,17067597.82
2020-04-01,21035522.89
2020-07-01,18162023.89
2020-10-01,19750303.98
2021-01-01,21378667.68
2021-04-01,22178751.89
2021-07-01,20789995.21
2021-10-01,40616059.17
2022-01-01,27985609.0
2022-04-01,38693400.08
2022-07-01,31443440.29
