datetime,Ingresos (miles de $)
2013-01-01,13135235
2013-04-01,13970806
2013-07-01,15235659
2013-10-01,16218846
2014-01-01,15938353
2014-04-01,17680972
2014-07-01,18976053
2014-10-01,20012332
2015-01-01,19337342
2015-04-01,19945453
2015-07-01,21785238
2015-10-01,24881967
2016-01-01,24763052
2016-04-01,25353971
2016-07-01,27416177
2016-10-01,30143233
2017-01-01,31205565
2017-04-01,33509264
2017-07-01,35711689
2017-10-01,38110028
2018-01-01,38733946
2018-04-01,40653502
2018-07-01,43280089
2018-10-01,44026803
2019-01-01,50246691
2019-04-01,55338816
2019-07-01,60905891
2019-10-01,65388842
2020-01-01,72077147
2020-04-01,73538944
2020-07-01,79634755
2020-10-01,83479114
2021-01-01,93112153
2021-04-01,104782020
2021-07-01,117751925
2021-10-01,127389786
2022-01-01,130454676
2022-04-01,153032313
2022-07-01,174057836
