datetime,Total
2022-07-01,79315975.52000001
2022-04-01,69852158.27
2022-01-01,63361956.42999999
2021-10-01,56311457.239999995
2021-07-01,54437545.03
2021-04-01,51713438.15
2021-01-01,49962875.97
2020-10-01,40803721.24
2020-07-01,38319354.93
2020-04-01,37164735.42
2020-01-01,37500229.68
2019-10-01,34936035.370000005
2019-07-01,31180928.85
2019-04-01,28329822.85
2019-01-01,26295975.67
2018-10-01,23482117.89
2018-07-01,22377201.630000003
2018-04-01,21156045.62
2018-01-01,19422734.77
2017-10-01,18487465.64
2017-07-01,16858392.01
2017-04-01,15700773.56
2017-01-01,14869605.23
2016-10-01,13533782.149999999
2016-07-01,12946985.67
2016-04-01,11754405.41
2016-01-01,11207065.86
2015-10-01,9982455.25
2015-07-01,9570151.67
2015-04-01,8664259.99
2015-01-01,8313925.449999999
2014-10-01,7398091.399999999
2014-07-01,6953805.540000001
2014-04-01,6395437.38
2014-01-01,5600705.52
