indice_tiempo,BUENOS AIRES,CAPITAL FEDERAL,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN
2014-01-01,16476149.0,3049229.0,393088.0,1130608.0,556319.0,3528687.0,1059836.0,1308290.0,573823.0,718971.0,339895.0,362605.0,1863809.0,1174542.0,610449.0,688873.0,1314726.0,730408.0,469889.0,311444.0,3369365.0,918147.0,148143.0,1572205.0
2015-01-01,16659931.0,3054267.0,396895.0,1143201.0,566922.0,3567654.0,1070283.0,1321415.0,579250.0,727780.0,343056.0,367728.0,1885551.0,1189446.0,619745.0,698874.0,1333365.0,738959.0,476351.0,320469.0,3397532.0,928097.0,152317.0,1592878.0
2016-01-01,16841135.0,3059122.0,400678.0,1155723.0,577466.0,3606540.0,1080655.0,1334489.0,584614.0,736542.0,346191.0,372879.0,1907045.0,1204182.0,628897.0,708799.0,1351878.0,747488.0,482796.0,329499.0,3425656.0,938109.0,156509.0,1613476.0
2017-01-01,17020012.0,3063728.0,404433.0,1168165.0,587956.0,3645321.0,1090938.0,1347508.0,589916.0,745252.0,349299.0,378047.0,1928304.0,1218771.0,637913.0,718646.0,1370283.0,755994.0,489225.0,338542.0,3453674.0,948172.0,160720.0,1633992.0
2018-01-01,17196396.0,3068043.0,408152.0,1180477.0,598380.0,3683937.0,1101084.0,1360443.0,595129.0,753891.0,352378.0,383220.0,1949293.0,1233177.0,646784.0,728403.0,1388532.0,764464.0,495629.0,347593.0,3481514.0,958251.0,164944.0,1654388.0
2019-01-01,17370144.0,3072029.0,411824.0,1192616.0,608729.0,3722332.0,1111052.0,1373270.0,600229.0,762440.0,355422.0,388386.0,1969982.0,1247362.0,655501.0,738060.0,1406584.0,772876.0,502000.0,356647.0,3509113.0,968309.0,169183.0,1674622.0
2020-01-01,17541141.0,3075646.0,415438.0,1204541.0,618994.0,3760450.0,1120801.0,1385961.0,605193.0,770881.0,358428.0,393531.0,1990338.0,1261294.0,664057.0,747610.0,1424397.0,781217.0,508328.0,365698.0,3536418.0,978313.0,173432.0,1694656.0
2021-01-01,17709598.0,3078836.0,418991.0,1216247.0,629181.0,3798261.0,1130320.0,1398510.0,610019.0,779212.0,361394.0,398648.0,2010363.0,1274992.0,672461.0,757052.0,1441988.0,789489.0,514610.0,374756.0,3563390.0,988245.0,177697.0,1714487.0
2022-01-01,17875743.0,3081550.0,422476.0,1227736.0,639294.0,3835738.0,1139604.0,1410908.0,614706.0,787436.0,364322.0,403727.0,2030061.0,1288476.0,680726.0,766387.0,1459378.0,797697.0,520845.0,383827.0,3589999.0,998093.0,181983.0,1734118.0
2023-01-01,18039509.0,3083770.0,425885.0,1238989.0,649330.0,3872830.0,1148631.0,1423136.0,619240.0,795539.0,367207.0,408760.0,2049411.0,1301723.0,688850.0,775609.65103236,1476539.0,805830.0,527023.0,392904.0,3616227.0,1007830.0,186285.0,1753523.0
2024-01-01,18200851.0,3085483.0,429208.0,1249992.0,659284.0,3909489.0,1157386.0,1435177.0,623605.0,803507.0,370047.0,413735.0,2068396.0,1314714.0,696833.0,784715.0,1493448.0,813878.0,533137.0,401984.0,3642063.0,1017428.0,190601.0,1772680.0
2025-01-01,18359753.0,3086680.0,432438.0,1260737.0,669155.0,3945677.0,1165860.0,1447019.0,627790.0,811328.0,372838.0,418645.0,2087006.0,1327431.0,704673.0,793697.0,1510087.0,821835.0,539178.0,411065.0,3667505.0,1026866.0,194926.0,1791571.0
